,,,,,,SAMPLE_NAME,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
BIOCHEMICAL,PLATFORM,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
1-palmitoyl-GPI (16:0)*,Method 3,,,,,HMDB61695,"322,376","530,555","1,099,313","903,006","1,913,256","1,359,118","1,376,895","1,960,223","2,420,692","2,197,833","1,779,595","1,866,278","2,444,187","1,478,939","2,476,809","1,712,328","1,123,099","1,151,137","1,368,203","2,474,819","3,631,539","1,442,845","2,647,190","3,933,195"
1-palmitoyl-GPS (16:0)*,Method 3,,9547100,7826050,,,,,"161,401",,,"185,394",,"922,408","673,053","254,957",,"407,187","1,096,796","2,984,030","5,144,867","1,831,896","531,352","2,769,198","339,779","4,223,713","5,898,511","367,515","1,983,004","3,861,329"
1-palmitoylglycerol (16:0),Method 3,542-44-9,14900,14201,,HMDB31074,"12,685,020","10,197,752","11,558,072","25,904,378","9,942,341","18,503,674","9,415,279","11,887,660","34,628,028","18,210,812","22,929,022","24,977,120","49,624,640","19,265,516","26,091,238","33,281,694","14,502,453","11,309,449","29,527,094","17,555,682","88,169,008","9,248,724","34,072,200","57,451,940"
1-pentadecanoyl-GPC (15:0)*,Method 4,,,,,,"93,658","238,838","138,730","168,337","312,303","113,685","276,249","256,130","169,817","373,367","196,446","228,226","172,131","118,129","318,312","323,076","115,559","237,567","173,628","255,036","196,446","219,710","193,540","82,952"
1-pentadecanoylglycerol (15:0),Method 3,,190750,165667,,,,"723,688","658,507",,"1,011,314","392,449","1,022,841","1,888,676","2,869,502","1,479,055","1,419,719","1,434,340","1,825,828","1,464,434","2,625,695","839,869",,"755,623","1,098,519","1,138,619","2,998,403",,"1,162,700","1,765,430"
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Method 4,35418-59-8,16219824,17347139,,,"1,366,110","2,306,511","2,130,198","1,769,957","1,971,021","2,259,006","1,621,274","2,368,895","2,190,143","2,011,425","1,650,640","2,127,651","708,693","1,371,993","1,449,012","1,445,591","1,227,736","1,443,983","1,820,494","1,460,449","1,582,623","1,379,134","1,628,139","1,596,862"
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Method 4,,5289133,4451158,,,"336,058","562,671","514,734","544,468","747,594","510,189","475,910","837,240","708,916","1,136,373","745,167","686,508",,"356,220","307,682","475,694","175,259","332,891","962,485","337,333","425,085","361,169","382,879","562,401"
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Method 4,,,21403055,,,"814,020","675,620","721,275","797,337","841,931","725,901","767,567","606,629","549,365","608,248","779,058","573,086","523,016","890,269","528,009","1,136,227","790,035","721,709","1,039,856","928,554","689,704","924,156","813,306","816,817"
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),Method 4,,,,,,"472,111","470,238","539,963","550,333","658,342","585,822","575,494","389,081","365,543","371,662","505,869","476,212","162,495","385,962","193,616","414,652","256,196","291,235","276,700","319,311","251,938","295,864","311,099","340,338"
1-stearoyl-2-oleoyl-GPC (18:0/18:1),Method 4,56421-10-4,,24766704,,,"304,381","425,715","452,522","383,324","394,950","491,605","301,727","481,680","421,192","438,501","261,556","366,251","120,363","235,120","307,476","331,397","286,870","270,635","454,160","348,982","314,233","315,543","320,021","314,369"
1-stearoyl-2-oleoyl-GPS (18:0/18:1),Method 4,,9547087,7826037,,,"1,176,436","685,095","868,748","1,133,886","1,234,833","809,177","1,231,872","654,614","605,392","879,710","1,242,009","785,212","426,438","709,553","381,231","1,191,322","609,352","538,168","895,554","629,739","577,025","975,003","847,113","657,951"
1-stearoyl-GPC (18:0),Method 1,19420-57-6,497299,435389,,HMDB10384,"3,610,199","9,291,586","5,275,609","6,337,638","10,305,859","12,333,076","6,146,004","14,553,308","33,299,246","107,474,456","27,800,516","4,189,425","8,971,162","2,261,179","24,502,278","6,988,827","24,324,964","13,941,607","27,091,988","16,278,445","80,415,504","13,328,102","32,246,352","11,092,783"
1-stearoyl-GPE (18:0),Method 3,69747-55-3,9547068,7826018,,HMDB11130,"631,612","886,195","1,279,470","2,136,808","4,047,313","1,588,580","4,308,534","4,719,485","4,975,455","5,369,645","3,333,638","3,000,325","13,432,959","10,065,015","9,511,788","8,208,547","4,233,009","6,425,225","5,330,776","12,153,003","11,765,605","9,227,295","14,354,638","10,902,853"
