,,,,,,SAMPLE_NAME,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
BIOCHEMICAL,PLATFORM,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
creatinine,Method 1,60-27-5,588,568,C00791,HMDB00562,"9,366,114","13,766,672","16,480,305","10,577,446","14,437,386","10,480,124","9,353,215","16,501,083","9,179,161","16,618,507","14,234,890","11,435,439","6,231,344","6,084,282","10,196,442","8,412,957","8,485,077","23,953,904","11,078,029","6,742,515","7,717,164","8,686,114","8,996,082","8,621,051"
cyclo(his-pro),Method 1,53109-32-3,449094,395717,,,"11,235,944","26,074,366","15,788,834","16,260,538","20,354,324","54,332,540","33,495,166","56,652,784","30,565,202","25,234,478","13,118,280","27,310,778","716,353","3,891,376","4,530,894","1,743,769","1,029,194","6,683,054","651,613","3,544,115","2,167,967","1,098,783","3,448,769","1,914,052"
"cys-gly, oxidized",Method 3,7729-20-6,333293,295316,,,,"170,557",,"66,475","90,034","79,018","137,112","233,924","162,772","438,284",,"176,816","196,217","1,468,091","303,564","1,038,769","241,068","120,055","1,438,494","353,597","656,411","86,887","262,848","184,089"
cystathionine,Method 1,535-34-2,439258,811,C02291,HMDB00099,"52,223,256","117,116,504","77,710,104","49,178,260","75,896,640","47,053,364","48,956,992","67,334,080","84,566,352","35,851,396","45,948,928","116,657,200","44,414,084","37,190,408","61,369,224","22,040,624","74,270,448","76,527,928","31,361,288","143,168,336","105,505,192","102,059,320","49,367,492","138,969,024"
cysteine,Method 1,52-90-4;56-89-3,5862,5653,C00097,HMDB00574,"14,060,257","9,479,894","15,936,895","13,471,990","31,658,258","15,699,842","31,165,530","7,933,796","10,145,550","8,768,072","30,225,868","18,928,174","36,037,152","36,562,972","25,291,322","27,369,108","12,598,214","51,975,928","11,571,140","77,540,696","34,805,136","33,154,974","50,997,048","114,356,288"
cysteine-glutathione disulfide,Method 1,13081-14-6,4247235,3455404,,HMDB00656,"30,689,434","88,599,728","53,034,476","59,023,432","72,982,856","78,946,480","56,329,704","86,352,712","60,045,744","90,425,264","53,037,508","93,864,048","64,780,976","17,711,202","69,620,856","41,525,140","100,166,968","37,577,236","151,862,832","73,924,880","84,890,232","83,847,352","79,391,584","85,091,616"
cysteinylglycine,Method 1,19246-18-5,439498,58762,C01419,HMDB00078,"5,633,543","5,170,099","8,184,596","5,119,611","8,912,081","6,137,151","10,351,662","4,201,913","2,936,668","4,592,036","10,547,127","6,139,074","7,092,596","11,967,952","6,590,561","8,091,007","2,913,033","11,234,852","4,311,921","9,563,229","6,545,249","5,677,061","7,572,654","13,056,934"
cystine,Method 1,56-89-3,67678,575,C00491,HMDB00192,"5,064,084","6,254,797","2,530,918","17,281,786","22,082,744","4,082,512","12,163,389","5,735,207","47,124,880","8,121,611","3,701,910","13,283,358","28,504,836","9,792,229","17,811,386","10,082,253","66,260,632","5,847,087","31,245,884","25,968,974","16,781,672","66,526,280","17,445,394","17,416,362"
cytidine,Method 1,65-46-3,6175,5940,C00475,HMDB00089,"41,133,676","41,757,836","40,295,576","48,264,340","59,442,388","54,568,592","65,594,448","37,285,528","79,065,760","58,238,644","73,318,160","46,089,968","160,368,288","77,227,608","116,092,624","87,575,288","156,974,960","103,858,944","207,653,504","218,188,144","138,260,000","179,536,048","150,325,008","215,378,528"
"cytidine 2',3'-cyclic monophosphate",Method 1,15718-51-1,417654,369711,C02354,HMDB11691,"728,268","495,825","321,379","1,407,454","1,191,125","2,121,477","1,834,358","1,191,125","909,952","419,780","253,906","498,500",,,"213,581",,,,,,,"82,147",,
cytidine 3'-monophosphate (3'-CMP),Method 1,84-52-6,66535,225079,C05822,,"919,044","684,678","454,679","1,634,000","1,250,069","2,006,177","3,686,751","1,213,186","2,258,313","738,850","317,233","362,647","29,201,020","7,796,414","34,514,732","21,832,186","13,515,202","27,947,532","6,845,246","37,615,264","17,642,794","23,861,614","13,381,802","9,846,391"
cytidine 5'-diphosphocholine,Method 1,33818-15-4,13804,21531769,C00307,HMDB01413,"5,860,462","9,413,959","7,432,384","9,602,513","10,806,369","10,794,221","9,328,217","7,786,935","10,052,981","12,226,648","12,206,192","11,502,490","11,339,279","5,320,209","13,029,468","7,983,823","17,160,272","13,117,596","23,940,878","21,946,576","15,621,947","20,249,564","15,798,378","20,153,050"
cytidine 5'-monophosphate (5'-CMP),Method 1,63-37-6,6131,5414497,C00055,HMDB00095,"45,865,232","92,783,528","86,455,368","66,255,020","96,024,384","95,870,072","76,377,520","83,078,664","72,521,720","83,400,944","96,953,176","88,531,800","71,750,832","42,970,888","68,440,136","51,709,740","68,358,888","55,907,356","104,656,376","97,626,456","77,474,864","72,522,216","82,307,136","111,266,712"
cytidine 5'-monophospho-N-acetylneuraminic acid,Method 4,3063-71-6,448209,,C00128,HMDB01176,"587,998","1,748,210","1,418,106","934,087","1,527,937","1,711,370","1,246,218","1,463,702","1,411,702","1,176,251","1,480,013","1,790,862","651,047","309,554","807,457","385,566","729,965","724,481","1,237,212","1,554,173","919,665","873,381","901,499","1,800,122"
cytidine-5'-diphosphoethanolamine,Method 1,72842-05-8,123727,287,C00570,HMDB01564,"3,276,356","4,776,635","4,794,820","4,305,675","5,430,021","5,697,523","4,026,150","4,519,052","3,845,956","6,430,629","7,066,595","5,827,937","5,868,034","3,132,756","5,749,265","4,683,484","7,634,577","5,177,476","10,799,310","9,076,085","6,885,483","8,983,404","7,308,019","10,312,680"
daidzein,Method 3,486-66-8,5281708,4445025,C10208,HMDB03312,,,,,,,,,,,,,,,,,,,,,,,,
decanoylcarnitine,Method 1,1492-27-9,10245190,8420677,,HMDB00651,"1,270,560","1,640,545","1,545,008","1,840,452","1,180,650","3,654,105","1,645,775","2,093,917","1,527,518","3,728,933","3,238,562","1,880,973","1,765,424","1,939,365","1,595,805","2,361,837","1,731,786","2,481,115","2,550,516","2,036,351","2,127,933","1,201,102","2,017,377","1,948,369"
dehydroascorbate,Method 4,490-83-5,835,812,C05422,HMDB01264,"207,034","301,633","322,270","359,510","449,005","484,129","522,891","501,852","244,949","284,396","466,229","254,125","333,747","283,815","266,192","370,962","152,399","466,880","245,321","641,890","275,690","264,662","445,391","512,618"
deoxycarnitine,Method 1,6249-56-5,134,705,C01181,HMDB01161,"17,100,650","27,789,818","28,135,510","34,365,584","30,188,540","37,691,732","23,830,732","28,378,072","21,274,508","29,103,826","33,755,456","31,806,102","25,002,932","25,453,556","27,493,846","30,196,522","31,329,598","31,106,472","43,082,156","36,927,416","27,701,090","32,544,784","34,038,080","49,407,720"
dihomo-linoleate (20:2n6),Method 3,2091-39-6,6439848,4944228,C16525,HMDB05060,"2,848,234","3,098,355","6,429,467","6,884,446","10,609,924","7,876,225","9,781,702","12,677,925","44,774,124","17,400,140","12,793,905","12,396,823","30,311,312","11,426,027","21,091,480","12,224,087","8,346,003","5,003,558","26,812,058","26,697,590","73,701,984","9,269,441","35,467,688","80,027,776"
dihomo-linolenate (20:3n3 or n6),Method 3,17046-59-2,5280581,4471954,C03242,HMDB02925,"3,622,099","4,581,419","6,488,318","10,979,988","18,679,796","8,135,515","9,971,660","11,588,265","35,866,092","15,156,890","12,240,666","10,872,256","56,597,256","31,487,656","63,561,408","31,898,960","22,472,716","19,484,720","58,767,896","57,718,152","138,680,032","14,665,910","69,290,376","85,456,792"
dihydrobiopterin,Method 1,6779-87-9,1879,1808,C00268,HMDB00038,,"426,070","393,613",,"369,749",,,,,"251,005","646,710",,"667,787",,"278,902","411,285",,"832,159","446,194","1,115,417","456,244","405,834","541,291","576,631"
dimethylarginine (SDMA + ADMA),Method 1,102783-24-4,123831,110375,C03626,HMDB01539,"3,438,857","7,629,990","5,838,902","5,396,215","7,558,400","4,761,388","4,682,975","4,806,500","4,689,690","5,656,446","6,589,211","5,041,543","13,444,554","5,942,828","12,298,669","9,098,908","21,682,210","17,024,414","22,298,004","35,921,688","15,587,545","19,061,566","13,950,732","17,168,168"
docosadienoate (22:2n6),Method 3,7370-49-2,5282807,4445934,C16533,HMDB61714,"231,610","291,737","586,996","610,876","912,327","634,689","880,800","1,084,384","2,540,313","1,463,804","1,106,126","960,503","2,866,382","1,348,617","2,178,201","1,468,646","1,005,473","586,002","2,720,077","3,154,481","5,810,084","1,159,288","5,029,189","6,349,264"
docosahexaenoate (DHA; 22:6n3),Method 3,6217-54-5,445580,393183,C06429,HMDB02183,"7,603,152","6,008,037","7,355,101","23,687,266","38,205,720","8,874,320","30,322,028","16,863,824","49,548,444","39,051,960","25,557,692","15,807,263","140,637,104","52,536,428","121,329,200","105,218,056","63,659,936","51,296,640","82,164,280","94,573,512","194,835,872","56,673,412","217,262,640","102,781,320"
docosapentaenoate (n3 DPA; 22:5n3),Method 3,2234-74-4,6441454,,C16513,HMDB01976,"1,192,654","1,728,805","2,469,685","3,480,020","5,912,281","3,452,828","3,035,318","5,631,000","14,762,141","5,698,455","3,909,354","4,337,182","11,738,185","10,718,207","14,337,393","7,283,060","5,892,334","5,312,256","13,597,489","13,268,495","32,696,434","4,157,174","16,045,111","22,536,552"
docosapentaenoate (n6 DPA; 22:5n6),Method 3,25182-74-5,6441454,4945614,C16513,HMDB01976,"918,641","914,427","1,419,254","2,348,708","4,373,280","1,833,438","1,942,759","2,535,705","7,040,211","3,207,062","2,469,959","2,743,799","16,612,416","14,814,307","20,873,770","11,560,414","5,174,259","5,635,689","11,573,450","13,657,858","34,012,748","4,276,145","22,795,638","23,675,690"
docosatrienoate (22:3n3),Method 3,59708-86-0,5312556,4471981,C16534,HMDB02823,,"391,136","503,540",,"808,741",,,"884,011","2,391,266","791,568","421,677","902,274","2,673,137","1,561,656","3,672,554","1,288,796","1,057,971","1,001,548","1,862,699","3,142,802","8,466,531","700,915",,"6,927,909"
eicosapentaenoate (EPA; 20:5n3),Method 3,10-2005-9;10417-94-4,446284,393682,C06428,HMDB01999,"1,367,567","1,226,527","1,163,561","2,547,308","3,492,268","1,939,077","1,868,417","1,514,361","3,545,627","2,364,349","1,670,313","1,424,685","3,351,920","1,527,668","3,049,101","2,338,210","3,503,284","1,615,894","3,138,336","2,727,363","2,809,488","1,690,276","3,159,361","2,776,499"
eicosenoate (20:1),Method 3,,5282768,4445895,,HMDB02231,"4,440,274","8,094,416","10,133,417","13,398,025","25,457,464","15,727,063","20,375,270","22,804,366","64,920,564","29,719,140","21,310,738","18,110,120","43,158,344","20,656,528","31,616,188","15,598,822","19,969,634","8,483,234","34,718,992","34,035,344","71,377,384","12,193,353","38,743,724","74,022,416"
ergothioneine,Method 1,58511-63-0,3032311,2297320,C05570,HMDB03045,"717,517","2,312,362","1,223,695","2,507,530","1,726,862","3,746,708","4,952,084","4,621,840","1,587,424","4,018,576","1,416,675","1,327,393","1,495,730","1,901,674","1,498,029","3,082,799","980,157","3,909,921","904,870","1,683,421","1,235,508","705,322","2,555,424","1,236,970"
erucate (22:1n9),Method 3,112-86-7,5281116,7924,C08316,HMDB02068,"1,136,794","2,082,671","2,997,485","3,214,873","4,649,113","1,749,249","3,450,546","3,033,073","6,892,544","4,825,908","5,213,008","2,750,073","8,571,832","4,840,580","6,290,889","3,852,909","3,757,000","2,652,821","5,891,472","4,457,647","16,440,589","3,123,548","9,983,032","11,657,610"
erythritol,Method 4,149-32-6,222285,13835932,C00503,HMDB02994,,"73,674","72,691","45,437","67,489","58,808","40,864","37,953","32,072","65,960","53,004","23,972","58,737","23,692","78,042",,"32,046","156,183","119,397","57,305","42,769","33,085","29,739","123,988"
erythronate*,Method 4,88759-55-1,2781043,2061231,,HMDB00613,"4,295,802","7,380,204","6,564,927","6,814,105","8,107,523","7,067,072","7,615,484","7,572,534","5,344,208","8,245,734","8,388,743","4,360,837","6,339,148","3,156,684","8,211,500","4,530,123","5,903,063","10,427,769","9,981,198","8,541,017","4,804,869","5,867,684","6,719,190","7,585,238"
ethylmalonate,Method 4,601-75-2,11756,11263,,HMDB00622,"173,191","515,241","250,613","337,138","338,763","403,439","311,676","312,843","303,378","337,488","382,856","236,607","434,866","225,343","522,490","277,620","561,595","714,574","953,370","622,211","347,491","636,807","456,349","588,998"
flavin adenine dinucleotide (FAD),Method 3,146-14-5;84366-81-4,643975,559059,C00016,HMDB01248,"329,917","453,173","448,549","427,930","609,663","796,589","549,827","500,341","409,870","467,144","521,544","481,348","402,244","189,176","302,414","351,612","401,923","334,240","587,040","485,845","495,475","722,027","518,664","474,788"
flavin mononucleotide (FMN),Method 3,130-40-5,710,690,C00061,HMDB01520,,"85,791","93,259","54,506","91,374","133,591","137,920","69,603","133,467","63,027","85,837","72,362","61,808","91,004","43,522","58,262","94,333","99,373","193,362","258,821","94,476","122,840","158,487","500,679"
fructose,Method 4,57-48-7,5984,5764,C00095,HMDB00660,"8,459,001","5,486,696","7,390,926","9,357,003","3,572,837","7,777,852","4,617,350","7,749,207","2,212,183","4,556,647","5,436,907","3,193,164","3,745,519","3,902,337","5,667,259","4,001,496","4,328,334","3,898,432","22,869,510","9,525,088","6,520,506","9,168,224","6,348,213","33,285,546"
fructose-6-phosphate,Method 4,103213-47-4,69507,19969987,C05345,HMDB00124,"167,419","589,990","420,273","337,021","415,688","478,651","472,764","554,642","567,526","466,462","486,864","334,222","331,395","144,684","242,012","214,161","144,204","251,426","517,698","415,148","397,648","212,951","314,085","405,206"
fumarate,Method 4,100-17-8,444972,10197150,C00122,HMDB00134,"6,733,046","12,005,505","8,955,400","13,124,187","16,614,713","17,902,510","17,474,798","13,347,727","19,348,078","14,908,776","15,671,871","14,020,698","19,520,848","5,801,981","13,262,741","6,970,662","19,441,284","11,324,822","31,324,640","29,187,236","18,846,270","23,640,122","15,818,845","34,050,424"
galactitol (dulcitol),Method 4,608-66-2,11850,11357,C01697,HMDB00107,"257,292","417,383",,,,"417,177","529,689",,"303,237","567,427",,"306,386","645,759","416,645",,"618,386","402,258","587,795",,"594,575","568,545","357,597","608,163",
gamma-glutamyl-epsilon-lysine,Method 1,17105-15-6,65254;14284565,58747,,HMDB03869,,,,,,,,,,,,,,,,,"484,795",,"805,154","1,384,793","322,342","334,819",,"1,023,172"
gamma-glutamylalanine,Method 1,5875-41-2,440103,389104,,HMDB29142,"2,829,381","5,398,890","3,991,742","4,145,151","7,033,982","3,192,632","5,580,036","4,059,206","4,085,569","5,348,349","4,367,050","3,387,061","1,948,332","1,206,428","2,623,857","2,995,156","5,187,247","2,630,553","8,574,391","6,642,926","3,398,229","8,102,740","7,106,407","9,979,104"
gamma-glutamylcysteine,Method 1,636-58-8,842,819,C00669,HMDB01049,"1,933,812","612,670","2,433,797","1,321,613","4,565,035","2,265,505","6,079,792","378,985","502,615","459,635","6,416,626","1,629,421","1,408,113","2,871,583","798,878","1,834,552",,"5,687,218",,"9,906,983","1,837,686","4,117,566","7,386,191","21,345,802"
gamma-glutamylglutamate,Method 1,1116-22-9,92865,83831,C05282,HMDB11737,"12,093,909","22,259,122","14,133,771","20,942,170","30,382,870","16,853,364","33,541,142","16,011,488","24,419,410","28,949,484","25,349,852","16,299,847","19,592,232","9,070,488","18,969,838","18,758,978","50,406,944","19,904,572","76,119,312","51,692,036","28,846,932","67,716,808","58,637,836","78,718,344"
gamma-glutamylglutamine,Method 1,10148-81-9,150914,133013,C05283,HMDB11738,"14,778,073","33,686,888","28,554,010","20,510,644","36,412,340","25,666,620","26,767,612","27,217,766","30,689,190","22,143,160","17,912,064","16,030,037","5,709,636","6,950,914","11,094,608","9,669,689","14,373,366","8,114,233","27,400,840","29,558,492","12,209,032","13,815,251","15,874,512","22,577,704"
gamma-glutamylglycine,Method 3,1948-29-4,165527,145071,,HMDB11667,"764,133","832,026","1,172,742","1,255,970","1,547,994","845,778","731,223","675,875","1,691,809","392,143","741,613","1,023,451",,"180,437","277,007",,"1,033,138","310,966","751,100","1,424,918","377,857","1,263,480","300,201","1,664,067"
gamma-glutamylisoleucine*,Method 1,,14253342,21403145,,HMDB11170,,,,,,,"202,842",,,,,,,,,,"329,738",,"758,334","1,009,646","221,293","365,383","296,302","713,101"
gamma-glutamylleucine,Method 3,2566-39-4,151023,133115,,HMDB11171,"114,121","127,881","110,451","226,433","163,464","118,723","218,909","120,466","189,119","185,673","160,848","113,344","266,017","113,930","202,485","210,918","549,941","167,924","782,584","746,239","288,324","463,371","347,983","680,480"
gamma-glutamylmethionine,Method 1,17663-87-5,7009567,5373147,,HMDB29155,"622,683","976,030","789,581","741,676","824,697","616,612","652,982","560,556","654,797","753,614","835,327","429,227","320,187","281,060","477,000","578,646","692,782","540,061","1,325,129","1,273,572","744,626","1,097,553","1,180,711","1,568,601"
gamma-glutamylphenylalanine,Method 1,7432-24-8,111299,99868,,HMDB00594,"316,968",,"69,190","268,543","546,753","220,752","723,304","210,538","699,733","444,344","220,684","144,572","1,406,773","157,382","457,127","447,223","2,401,693","546,753","3,307,299","2,320,471","861,210","2,972,145","1,898,880","2,760,524"
gamma-glutamylthreonine*,Method 1,5652-48-2,,21403107,,HMDB29159,"712,525","1,336,624","1,303,205","973,965","1,816,581","1,212,817","1,327,996","587,761","1,475,342","770,065","1,311,834","1,005,815","2,029,312","829,260","1,625,599","1,094,714","1,766,737","1,294,637","3,254,998","4,245,514","2,019,757","3,014,792","2,619,132","6,559,076"
gamma-glutamyltyrosine,Method 1,7432-23-7,94340,85142,,HMDB11741,,"224,715",,"54,923","315,839",,"292,975","155,855","708,100","229,669","242,878","285,243","121,573",,"285,292",,"725,620","335,216","865,592","1,688,830","637,691","1,030,713","785,584","2,510,446"
gamma-glutamylvaline,Method 3,2746-34-1,7015683,,,HMDB11172,,"100,218","78,790","89,728","81,927",,"89,015","55,536","72,930","97,507","104,295","84,019","168,728","82,600","144,292","89,126","204,110","101,801","272,956","327,464","168,728","189,222","131,349","264,033"
genistein,Method 3,446-72-0,5280961,4444448,C06563,HMDB03217,,,,,,,,,,,,,,,,,,,,,,,,
gluconate,Method 4,527-07-1,10690,10240,C00257,HMDB00625,"530,243","1,113,862","853,364","777,379","974,323","1,343,368","1,530,635","1,513,264","1,164,941","1,591,217","1,427,405","1,671,447","854,588","366,807","929,348","436,713","271,131","801,017","786,994","974,526","839,212","510,988","774,420","590,650"
glucosamine-6-phosphate,Method 4,3616-42-0,439217,8013767,C00352,HMDB01254,"69,793","276,573","201,402","152,999","230,565","288,672","264,590","372,279","618,636","489,131","188,724","238,032","165,410",,"122,438",,"76,475",,"383,693","195,386","195,404","104,479","128,369","139,973"
glucose,Method 4,50-99-7,79025,71358,C00031,HMDB00122,"3,125,515","4,694,277","2,419,376","3,498,873","3,082,440","4,103,031","9,609,164","3,186,558","3,000,734","4,939,725","3,787,234","2,415,405","4,691,987","3,825,721","46,657,520","6,487,101","2,283,111","5,380,325","10,608,792","10,665,231","9,100,347","3,849,213","3,327,852","3,021,247"
glucose 6-phosphate,Method 4,103192-55-8,5958,19952394,C00668,HMDB01401,"177,691","373,050","254,242","231,230","352,487","345,182","409,602","336,770","389,246","348,617","367,740","330,065","365,657","141,331","245,078","103,320","330,628","178,778","559,845","409,454","495,345","252,155","72,772","472,732"
glucuronate,Method 4,207300-70-7,444791,58552,C00191,HMDB00127,"389,819","493,243","1,193,720","634,704","521,249","434,348","514,500","352,991","274,101","301,363","697,429","283,273","479,740","684,631","620,263","565,214","168,364","2,132,551","248,771","580,391","402,664","218,489","407,397","334,960"
glutamate,Method 1,56-86-0,611,591,C00025,HMDB00148,"350,309,216","494,917,152","398,252,352","500,327,712","608,727,488","512,546,976","665,609,856","457,686,240","641,351,232","624,010,560","696,559,936","608,332,480","1,197,627,904","646,846,336","909,625,024","791,963,904","1,159,753,088","805,651,392","1,296,234,368","1,664,531,328","1,174,164,096","1,389,699,328","1,209,848,576","1,582,677,248"
"glutamate, gamma-methyl ester",Method 1,1499-55-4,68662,66546,,,"500,356,320","918,047,936","802,222,272","759,980,480","1,170,420,224","1,250,592,384","1,034,864,832","1,174,944,768","1,112,550,912","1,404,721,792","978,563,648","1,393,378,560","1,590,286,208","554,669,376","1,559,194,496","976,120,384","1,592,117,504","995,691,008","2,784,356,864","1,674,020,608","1,880,314,880","1,249,807,488","1,557,357,952","1,732,685,824"
glutamine,Method 1,56-85-9,5961,5746,C00064,HMDB00641,"257,387,200","271,063,424","192,619,312","185,153,456","243,251,968","184,150,832","260,777,392","275,974,112","282,580,256","276,394,784","186,493,040","230,738,000","115,598,248","108,189,976","115,210,080","151,227,472","103,263,736","51,934,304","107,365,072","135,615,872","107,934,832","77,432,392","113,109,448","61,138,124"
glutamine-leucine,Method 1,,,16568303,,,,,,,,,"121,126",,,"109,668",,,"630,701","385,741","470,786","400,070","112,617","126,515","1,037,206","492,762","479,560",,"277,139","307,678"
glutarate (pentanedioate),Method 4,110-94-1,743,3618533,C00489,HMDB00661,"111,294","268,306","171,795","257,957","192,406","158,849","170,891","134,444","189,445","189,256","229,940","112,323","117,714","74,053","149,000","117,247","115,032","166,922","187,368","164,032","149,644","156,357",,"124,296"
glutarylcarnitine (C5),Method 1,102636-82-8,71464488,21403175,,HMDB13130,"67,575","271,528","530,340","302,896","189,592","246,686","246,479","265,509","203,412","390,371","340,535","147,882","119,751",,"239,739","173,895","58,312","751,532","824,670",,,,"101,858",
"glutathione, oxidized (GSSG)",Method 1,103239-24-3,65359,58835,C00127,HMDB03337,"143,389,456","517,666,048","476,830,752","128,804,288","127,599,296","490,845,856","113,300,824","581,761,600","41,592,384","363,865,632","268,943,168","419,273,536","52,261,096","10,237,142","71,310,312","59,095,172","69,009,992","64,755,220","102,249,168","67,258,352","109,614,920","68,481,528","108,495,112","97,734,736"
"glutathione, reduced (GSH)",Method 1,70-18-8,124886,111188,C00051,HMDB00125,"106,181,984","65,725,740","207,468,144","46,735,776","87,597,744","137,941,904","126,023,584","53,255,380","3,227,993","48,989,456","305,665,120","108,334,432","45,260,844","92,092,136","34,074,592","76,428,912","6,613,894","190,717,504","5,105,935","112,680,768","61,009,160","43,264,424","140,856,176","206,809,504"
glycerate,Method 4,600-19-1,752,732,C00258,HMDB00139,"11,290,733","17,488,888","15,903,892","18,478,948","22,618,898","22,742,784","22,115,684","22,724,198","22,317,814","28,962,494","20,893,082","14,829,445","14,073,638","10,715,364","14,953,851","13,105,010","12,054,605","16,386,431","22,464,854","24,556,414","15,048,000","16,203,138","17,743,444","22,262,726"
glycerol,Method 3,56-81-5,753,733,C00116,HMDB00131,"5,502,098","6,713,595","6,870,206","6,061,434","8,015,438","15,241,986","10,490,593","9,024,830","12,612,544","11,472,954","8,328,939","8,641,780","10,945,987","7,217,440","8,523,364","7,352,546","9,432,078","10,519,033","18,320,166","11,384,038","9,649,485","10,372,399","12,183,215","11,881,679"
glycerol 3-phosphate,Method 4,29849-82-9,754,734,C00093,HMDB00126,"3,577,438","6,322,994","5,654,241","4,714,596","7,349,577","6,112,861","6,686,389","6,932,972","4,217,466","6,373,217","4,940,005","5,006,976","2,819,849","1,480,444","3,716,701","2,343,120","4,533,983","4,387,138","6,284,291","5,895,484","3,156,419","4,339,191","3,619,924","6,068,488"
glycerophosphoethanolamine,Method 4,33049-08-0,123874,110410,C01233,HMDB00114,"3,450,046","9,173,011","7,330,427","5,395,358","7,592,018","9,835,723","6,113,535","7,005,544","6,259,564","6,700,847","6,185,999","8,034,381","16,638,116","6,063,561","14,757,764","7,383,688","16,485,071","10,629,035","29,763,948","26,306,990","17,302,406","17,716,962","15,760,171","35,763,660"
glycerophosphoglycerol,Method 4,,439964,388990,C03274,,"9,340,284","12,240,234","4,828,826","14,937,122","18,367,026","14,827,677","16,817,098","17,551,612","8,040,657","9,599,224","7,329,541","9,138,403","3,454,024","1,422,160","1,886,842","2,498,691","2,829,400","1,532,338","7,271,544","3,673,124","2,794,126","4,326,080","3,246,156","6,058,978"
glycerophosphoinositol*,Method 4,16824-65-0,,,,,"49,781,184","68,974,856","46,473,308","76,959,768","102,276,176","126,463,880","121,649,696","104,325,512","52,129,424","74,067,312","63,519,568","54,648,252","40,532,080","30,057,988","70,583,424","30,723,426","41,677,420","84,373,360","60,756,716","43,461,612","52,213,556","51,009,456","50,715,340","68,612,032"
glycerophosphorylcholine (GPC),Method 1,28319-77-9,71920,571409,C00670,HMDB00086,"1,129,337,600","1,274,109,952","1,434,012,160","1,461,497,600","1,481,241,600","1,634,059,776","1,344,327,936","1,569,087,360","1,276,672,768","1,462,382,720","1,458,427,520","1,805,350,400","2,185,821,696","1,295,872,640","1,836,355,072","1,481,729,664","2,720,607,744","1,446,636,928","3,025,369,088","2,798,749,696","2,573,058,816","2,796,165,888","2,373,625,088","3,452,798,464"
glycine,Method 1,56-40-6,750,730,C00037,HMDB00123,"25,338,320","19,453,872","26,386,034","22,635,492","26,464,020","20,884,092","19,499,268","15,142,830","25,063,592","17,233,176","19,962,328","24,516,332","16,925,180","13,553,442","12,503,482","12,549,637","16,638,087","10,153,701","12,035,292","19,109,032","12,562,826","17,426,718","14,545,639","19,253,214"
glycitein,Method 1,40957-83-3,5317750,4476508,C14536,HMDB05781,,,,,,,,,,,,,,,,,,,,,,,,
glycylisoleucine,Method 1,19461-38-2,88079,19972556,,HMDB28844,,"109,178",,,,,,"118,250",,"132,150",,"87,120","542,910",,"533,117","150,371","174,392","217,825","519,730","496,392","600,567",,"244,719","145,095"
glycylleucine,Method 1,869-19-2,92843,83812,C02155,HMDB00759,,"536,858","229,156","128,195","378,403","311,514","411,001","421,239","694,158","605,821","234,855","349,441","1,438,557","786,525","1,998,454","715,072","619,408","877,045","2,248,413","2,202,305","1,702,186","898,856","1,158,655","1,463,853"
glycylvaline,Method 1,1963-21-9,97417,2006926,,HMDB28854,,,,,,,,,"99,048",,,,"1,034,119","238,866","707,968","391,978","282,677","288,214","611,026","906,691","615,522","359,063","516,312","289,229"
guanidinoacetate,Method 1,352-97-6,763,743,C00581,HMDB00128,,"447,916",,,"745,286",,,,,,,,"2,166,058",,"1,641,483","1,871,833","4,953,839","3,635,121","3,187,610","3,618,655","1,746,366","3,408,803","2,955,240","2,977,758"
guanine,Method 1,73-40-5,764,744,C00242,HMDB00132,"3,088,899","5,984,307","5,634,941","5,824,941","7,258,447","6,193,262","5,278,569","6,606,035","10,034,566","11,885,892","6,559,265","7,648,581","5,791,195","1,866,437","4,956,846","4,642,446","5,874,878","6,254,920","14,703,378","6,866,462","7,186,644","10,701,643","8,092,767","8,681,263"
guanosine,Method 3,118-00-3,6802,6544,C00387,HMDB00133,"15,462,844","18,358,048","18,245,550","26,241,110","26,249,844","23,140,188","27,196,524","18,278,232","42,595,644","23,417,156","17,653,672","22,983,522","27,591,652","14,664,914","23,265,702","14,790,035","26,108,086","19,613,112","39,505,528","34,888,880","25,570,504","26,118,606","23,531,474","47,329,988"
guanosine 3'-monophosphate (3'-GMP),Method 3,117-68-0,3522,3402,,,,,,,,,,,,,,,,,"225,836","170,564","171,395","128,200",,"212,868","170,246",,"172,758",
