"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Diet]"	"Term Source REF"	"Term Accession Number"
"I5_Mouse_5"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01631-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"I6_Mouse_6"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01632-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"L1_Mouse_7"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01633-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"L2_Mouse_8"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01634-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"L3_Mouse_9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01635-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"L4_Mouse_10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01636-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"L5_Mouse_11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01637-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"L6_Mouse_12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01638-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"wild type genotype"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0005168"	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"M1_Mouse_13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01639-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"M2_Mouse_14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01640-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
