,molecular_weight
C00257,196.058303
C00258,106.026609
C00259,150.052823
C00261,106.041865
C00262,136.038511
C00263,119.058243
C00265,154.012221
C00267,180.063388
C00273,178.047738
C00295,156.017107
C00296,192.063388
C00300,131.069477
C00302,147.053158
C00303,146.069142
C00308,176.09094
C00309,150.052823
C00310,150.052823
C00311,192.027003
C00312,150.052823
C00314,169.073893
C00315,145.157898
C00318,161.105193
C00320,112.93671
C00322,160.037173
C00327,175.095691
C00329,179.079373
C00333,194.042653
C00334,103.063329
C00337,158.032757
C00346,141.019094
C00349,102.031694
C00355,197.068808
C00366,168.02834
C00379,152.068473
C00380,111.043262
C00383,104.010959
C00385,152.033425
C00388,111.079647
C00392,182.079038
C00398,160.100048
C00400,156.151415
C00402,133.037508
C00407,131.094629
C00408,129.078979
C00417,174.016438
C00418,148.073559
C00423,148.05243
C00429,114.042927
C00430,131.058243
C00431,117.078979
C00433,130.026609
C00436,131.105862
C00437,174.100442
C00438,176.043321
C00439,174.064057
C00441,117.042593
C00450,127.063329
C00451,192.027003
C00463,117.057849
C00472,108.021129
C00474,152.068473
C00476,150.052823
C00478,162.052823
C00483,137.084064
C00487,162.113018
C00489,132.042259
C00490,130.026609
C00493,174.052823
C00497,134.021523
C00499,176.054555
C00502,166.047738
C00503,122.057909
C00506,169.004493
C00507,164.068473
C00508,150.052823
C00514,196.058303
C00515,132.089878
C00519,109.019749
C00521,136.125201
C00522,148.073559
C00530,110.036779
C00532,152.068473
C00534,168.089878
C00539,122.036779
C00544,168.042259
C00545,166.047738
C00547,169.073893
C00548,136.05243
C00552,150.016438
C00553,156.151415
C00556,108.057515
C00558,194.042653
C00561,133.052764
C00568,137.047678
C00576,102.091889
C00581,117.053826
C00586,164.068473
C00587,138.031694
C00588,184.073869
C00590,180.078644
C00593,123.983029
C00596,114.031694
C00597,185.992939
C00601,120.057515
C00603,134.032757
C00604,180.068748
C00606,153.009578
C00612,187.168462
C00618,194.042653
C00623,172.013675
C00624,189.063722
C00628,154.026609
C00631,185.992939
C00632,153.042593
C00633,122.036779
C00637,159.068414
C00642,152.047344
C00650,149.047678
C00651,159.053158
C00652,148.037173
C00659,146.057909
C00661,169.998024
C00666,190.095357
C00671,130.062994
C00679,192.027003
C00680,190.095357
C00682,142.026609
C00684,148.037173
C00691,178.047738
C00708,126.904468
C00711,134.021523
C00715,163.04941
C00716,105.042593
C00719,117.078979
C00727,124.05243
C00729,141.115364
C00736,121.019749
C00737,180.063388
C00738,180.063388
C00739,146.105528
C00740,105.042593
C00745,162.115698
C00753,183.950933
C00755,152.047344
C00756,130.135765
C00763,115.063329
C00764,180.063388
C00768,155.069477
C00770,196.058303
