,molecular_formula,mass
C11749,C16H19N3O4S,349.109627
C11750,C22H29N3O6S,463.17770599999994
C11751,C24H23N3O6S,481.13075599999996
C11752,C23H22N2O6S,454.119857
C11754,C19H17N3O4S2,415.066047
C11755,C13H16N2O8S2,392.034807
C11756,C10H13N2O4SR,257.286459
C11757,C7H11N2O4R,187.17355700000002
C11758,C26H44O9,500.298533
C11760,C18H29NO3,307.214744
C11761,C21H36NO.,397.198027
C11762,C23H30NO3.,403.19142200000005
C11763,C12H18N2O2,222.13682799999998
C11764,C4H10FO2P,140.040244
C11765,C7H10N2O,138.07931299999998
C11766,C14H22N2O2,250.16812799999997
C11767,C14H23N3OS,281.156183
C11768,C9H13NO3,183.089543
C11769,C12H20N2O4S,288.114378
C11770,C13H21NO3,239.152144
C11771,C19H25NO4,331.178358
C11772,C11H15Cl2NO,247.05307000000002
C11773,C20H23N3O4,369.168856
C11774,C17H23N3O4,333.168856
C11775,C16H25N3O5,339.179421
C11776,C9H13NO,151.09971399999998
C11777,C9H13N3O,179.105862
C11778,C19H21NO4,327.147058
C11779,C18H21NO3,299.152144
C11780,C19H23NO3,313.167794
C11781,C19H21NO4,327.147058
C11782,C17H21NO3,287.152144
C11783,C21H26N2O3,354.194343
C11784,C23H28N2O4,396.204907
C11785,C16H17NO3,271.12084300000004
C11786,C17H19NO4,301.131408
C11787,C19H21NO3,311.152144
C11788,C17H23N,241.18305
C11789,C15H21NO,231.162314
C11790,C22H27NO,321.209264
C11791,C20H29NO2,315.219829
C11792,C15H21NO2,247.157229
C11793,C25H33NO4,411.240959
C11794,C26H35NO4,425.25660899999997
C11795,C19H25NO2,299.188529
C11796,C19H26Cl2N2O,368.142219
C11797,C22H20FN3OS,393.131111
C11798,C17H23N3O,285.184112
C11799,C8H14N4S,198.093917
C11800,C8H14N4S2,230.06598799999998
C11801,C10H18N4S,226.125217
C11802,C8H14N4OS,214.088832
C11803,C19H21N5O3S,399.13651
C11804,C18H28N6O,344.23246
C11805,C19H29N5O2,359.232125
C11806,C16H15F2N3O4S,383.075133
C11807,C21H22N2O2,334.16812799999997
C11808,C21H24N2O3,352.178693
C11809,C21H26N2O3,354.194343
C11810,C19H24N2O2,312.18377799999996
C11811,C5H12O8P2,262.00074
C11812,C22H26N2O4,382.189257
C11813,C24H29NO10,491.179146
C11814,C24H29NO10,491.179146
C11815,C25H31NO10,505.194796
C11816,C19H27NO3,317.199094
C11817,C29H37N3O2,459.288577
C11818,C20H21NO4,339.147058
C11819,C16H18N2O3,286.131742
C11820,C10H13NO3,195.089543
C11821,C5H4N4O4,184.023255
C11822,C3H5NO3,103.026943
C11823,C3H3O2R,71.05485300000001
C11824,,
C11825,C21H34O2,318.25588
C11826,C94H156N8O26P2(C39H64N8O19)n-1,
C11827,C95H156N8O28P2(C40H64N8O21)n-1,
C11829,C35H34MgN4O5,614.237962
C11830,C35H32MgN4O5,612.222312
C11831,C35H30MgN4O5,610.206662
C11832,C35H32MgN4O5,612.222312
C11833,C8H9NO5,199.048072
C11834,C14H14O2,214.09937999999997
C11837,C8H13NO3,171.089543
C11838,C5H8O4,132.042259
C11839,C10H15NO4,213.100108
C11840,C16H27NO4,297.194008
C11841,C12H19NO4,241.131408
C11842,C8H13NO4,187.084458
C11843,C8H15NO4,189.100108
C11844,C11H19NO3,213.13649300000003
C11845,C18H31NO4,325.225308
C11846,C8H12N2O2,168.089878
C11847,C14H16N2O2,244.121178
C11848,C16H21NO2,259.15722900000003
C11849,C17H34O3,286.25079500000004
C11850,C55H70MgN4O5,890.519663
C11851,C55H74N4O6Zn,950.489983
C11853,C20H28O4,332.198759
C11854,C19H22O5,330.146724
C11855,C19H22O6,346.141638
C11856,C19H22O6,346.141638
C11857,C20H28O4,332.198759
C11858,C20H28O5,348.19367400000004
C11859,C20H28O6,364.18858900000004
C11860,C20H28O5,348.19367400000004
C11861,C20H26O5,346.17802400000005
C11862,C20H26O6,362.172939
C11863,C19H24O4,316.167459
C11864,C19H24O5,332.162374
C11865,C19H24O5,332.162374
C11866,C19H22O4,314.15180899999996
C11867,C19H22O5,330.146724
C11868,C19H24O6,348.157289
C11869,C19H22O6,346.141638
C11870,C19H22O7,362.136553
C11871,C19H22O5,330.146724
C11872,C20H32O,288.245316
C11873,C20H30O,286.229666
C11874,C20H30O2,302.22458
C11875,C20H30O3,318.219495
C11876,C20H30O4,334.214409
C11877,C20H32,272.25040099999995
C11878,C20H32,272.25040099999995
C11879,C20H32,272.25040099999995
C11880,C20H32,272.25040099999995
C11881,C20H32,272.25040099999995
C11882,C20H32O,288.245316
C11883,C20H32O,288.245316
C11884,C20H32O,288.245316
C11885,C20H30O,286.229666
C11886,C20H30O,286.229666
C11887,C20H30O,286.229666
C11888,C20H30O2,302.22458
C11889,C20H30O2,302.22458
C11890,C20H34O,290.260966
C11891,C20H32,272.25040099999995
C11892,C20H32,272.25040099999995
C11893,C20H32,272.25040099999995
C11894,C20H32,272.25040099999995
C11895,C20H32O,288.245316
C11896,C22H34O2,330.25588
C11897,C20H32O2,304.24023
C11898,C22H34O3,346.25079500000004
C11899,C22H32O9,440.204633
C11900,C31H38O11,586.241412
C11901,C20H36O7P2,450.19362699999994
C11902,C20H36O7P2,450.19362699999994
C11903,C37H50N2O,538.3923139999999
C11904,C37H52N2O,540.407964
C11905,C20H28O4,332.198759
C11906,NaAsO2,129.901195
C11907,C16H24N2O15P2,546.065191
C11908,C16H24N2O15P2,546.065191
C11909,C16H24N2O14P2,530.0702769999999
C11910,C16H27N3O13P2,531.1019110000001
C11911,C18H31N3O13P2,559.1332110000001
C11912,C16H26N2O15P2,548.080841
C11913,C8H16O5,192.099774
C11915,C17H26N2O14P2,544.085927
C11916,C17H28N2O14P2,546.1015769999999
C11917,C8H16O4,176.104859
C11918,C6H6O3,126.03169399999999
C11919,C18H31N3O13P2,559.1332110000001
C11920,C16H26N2O14P2,532.085927
C11921,C17H28N2O14P2,546.1015769999999
C11922,C16H24N2O14P2,530.0702769999999
C11923,C16H26N2O14P2,532.085927
C11924,C10H14O2,166.09938
C11925,C16H27N3O14P2,547.096826
C11926,C16H24N2O15P2,546.065191
C11927,C16H24N2O14P2,530.0702769999999
C11928,C16H24N2O14P2,530.0702769999999
C11929,C31H48N7O17P3S,915.204023
C11930,C16H22N2O14P2,528.054626
C11931,C16H22N2O14P2,528.054626
C11932,C16H24N2O14P2,530.0702769999999
C11933,C18H31N3O14P2,575.128126
C11934,C31H50N7O18P3S,933.214588
C11935,C31H48N7O18P3S,931.1989380000001
C11936,C31H50N7O19P3S,949.2095029999999
C11937,C10H16O2,168.11503000000002
C11938,C10H16O,152.120115
C11939,C10H14O,150.104465
C11940,C10H14O2,166.09938
C11941,C10H16O,152.120115
C11942,C10H16O,152.120115
C11943,C10H16O2,168.11503000000002
C11944,C10H16O2,168.11503000000002
C11945,C31H50N7O17P3S,917.2196730000001
C11946,C31H50N7O17P3S,917.2196730000001
C11947,C31H52N7O18P3S,935.2302380000001
C11948,C31H50N7O18P3S,933.214588
C11949,C28H46N7O17P3S,877.1883730000001
C11950,C7H12O2,128.08373
C11951,C10H16O,152.120115
C11952,C10H18O,154.135765
C11953,C33H48O8,572.334919
C11954,C33H46O9,586.314183
C11955,C33H48O9,588.329833
C11956,C34H50O9,602.3454830000001
C11957,C40H60O12,732.408477
C11958,C41H62O12,746.424127
C11959,C47H72O15,876.4871220000001
C11960,C48H74O15,890.502772
C11961,C33H46O7,554.324354
C11962,C33H44O8,568.3036179999999
C11963,C33H46O8,570.319268
C11964,C34H48O8,584.334919
C11965,C40H58O11,714.397913
C11966,C41H60O11,728.413563
C11967,C47H70O14,858.4765570000001
C11968,C48H72O14,872.492207
C11969,C34H50O8,586.3505690000001
C11970,C34H48O9,600.329833
C11971,C34H50O9,602.3454830000001
C11972,C35H52O9,616.361133
C11973,C41H62O12,746.424127
C11974,C42H64O12,760.439778
C11975,C48H74O15,890.502772
C11976,C49H76O15,904.5184220000001
C11977,C34H48O7,568.340004
C11978,C34H46O8,582.319268
C11979,C34H48O8,584.334919
C11980,C35H50O8,598.3505690000001
C11981,C41H60O11,728.413563
C11982,C42H62O11,742.429213
C11983,C48H72O14,872.492207
C11984,C49H74O14,886.5078570000001
C11985,C44H80N2O15,876.5558699999999
C11986,C46H82N2O16,918.566435
C11987,C48H84N2O17,960.576999
C11988,C49H86N2O17,974.592649
C11989,C20H36O6,372.251189
C11990,C20H34O7,386.23045299999995
C11991,C26H44O10,516.293448
C11992,C27H46O10,530.3090980000001
C11993,C17H28O4,296.198759
C11994,C25H43NO6,453.309038
C11995,C25H43NO7,469.30395300000004
C11996,C25H43NO7,469.30395300000004
C11997,C20H32O5,352.22497400000003
C11998,C28H47NO7,509.335253
C11999,C28H47NO8,525.330167
C12000,C23H38O5,394.271924
C12001,C31H53NO8,567.377118
C12002,C31H51NO10,597.3512969999999
C12003,C37H61NO14,743.4092059999999
C12006,C42H67N5O21S,1009.404925
C12007,C38H48N8O12S,840.31124
C12008,C119H154ClN21O40,2552.035047
C12009,C43H65N5O10,811.4731429999999
C12011,C27H35N5O8,557.248563
C12012,C29H39N5O8,585.279863
C12013,C72H101N17O26,1619.710367
C12014,C73H88Cl2N10O26,1590.5248279999998
C12016,C58H44Cl3N7O21S,1311.137655
C12017,C21H23N3O7S2,493.09774100000004
C12018,C20H21N4O5S2,461.09533600000003
C12019,C21H19NO4,349.131408
C12020,C42H59N3O10,765.4200450000001
C12021,C3H8NO5P,169.01400900000002
C12022,C6H15NO7P2,275.032375
C12023,C25H35N3O,393.278013
C12024,C67H80N14O26,1496.536819
C12025,C9H18N2O5,234.12157200000001
C12026,C8H9NO4,183.053158
C12027,C10H17NO4,215.115758
C12029,C9H17NO3,187.12084299999998
C12030,C37H51N12O14R,887.874477
C12032,C35H37ClN2O11,696.208588
C12033,C9H12N2O2,180.089878
C12034,C86H97Cl3N10O26,1790.5641059999998
C12035,C79H84Cl3N9O24,1647.469478
C12036,C72H71Cl3N8O23,1520.369764
C12037,C14H16N2O3S2,324.060234
C12038,C21H27N3O4S3,481.11636799999997
C12039,C27H41NO5S,491.27054400000003
C12040,C26H14N8O7S,582.070616
C12041,C66H87N13O13,1269.65463
C12042,C72H110N12O20,1462.795934
C12043,C53H93N7O13,1035.6831359999999
C12044,C37H47NO12,697.3098259999999
C12045,C32H43ClN2O9,634.265709
C12046,C88H97Cl2N9O33,1877.556582
C12047,C47H78O14.,889.528927
C12048,C25H16O12,508.064176
C12049,C35H33NO12,659.200276
C12050,C70H97Cl2NO38,1629.5065630000001
C12051,C48H49N13O9S6,1143.210044
C12052,C49H51N13O8S6,1141.23078
C12053,C51H43N13O12S6,1221.147838
C12054,C72H85N19O18S5,1663.49235
C12055,C54H52N16O16S2,1244.318861
C12056,C19H35N3O5,385.257671
C12057,C26H35N5O12S,641.200292
C12058,C12H17NO3,223.120843
C12059,C12H7Cl3O2,287.951163
C12062,C25H30N4O2,418.236876
C12063,C29H44N4O16(CH2)n,718.7047779999999
C12064,C8H8O3,152.04734399999998
C12065,C28H47NO4S,493.32257999999996
C12066,C31H52N2O5S,564.359693
C12067,C8H17NO5,207.110673
C12068,C56H55N15O10S6,1289.258057
C12069,C3H4O3,88.016044
C12070,C47H66O13,838.450342
C12072,C20H22N2O2,322.16812799999997
C12073,C22H24N2O3,364.178693
C12075,C20H24N2O,308.18886299999997
C12076,C15H20O7,312.120903
C12077,C20H30O2,302.22458
C12078,C20H28O2,300.20893
C12079,C12H16O7,272.08960299999995
C12080,C22H16O6,376.09468799999996
C12081,C47H76O17,912.508251
C12082,C18H30O16,502.15338499999996
C12083,C20H30O2,302.22458
C12085,C13H10O4,230.057909
C12087,C15H12O5,272.068473
C12088,C10H10O2,162.06808
C12089,C15H17NO4S,307.087829
C12090,C14H12O4,244.073559
C12091,C42H66O18,858.424915
C12092,C29H43N8O17P3S,900.1679720000001
C12093,C14H11NO3,241.07389300000003
C12095,C30H27O13,595.145166
C12096,C36H37O18,757.197989
C12098,C36H48N2O8,636.341067
C12099,C31H34N2O7,546.236601
C12100,C17H32O2,268.24023
C12101,C7H10O2,126.06808000000001
C12102,C43H69NO12,791.4819769999999
C12103,C18H34O2,282.25588
C12104,C8H14O2,142.09938
C12105,C8H4O3S2,211.960185
C12106,C7H14NO9P,287.040618
C12107,C7H7NO3,153.04259299999998
C12108,C7H9NO4,171.053158
C12109,C7H11NO5,189.06372199999998
C12110,C7H9NO2,139.063329
C12111,C31H38N2O7,550.2679019999999
C12112,C20H35NO13,497.21084
C12113,C7H12O6,192.06338799999997
C12114,C7H6N2O3,166.03784199999998
C12115,C7H7NO3,153.04259299999998
C12116,C30H22N4O5,518.15902
C12117,C15H12N2O3,268.084792
C12118,C16H14N2O3,282.100442
C12119,C14H8N2O4,268.048407
C12120,C15H10N2O3,266.069142
C12121,C7H11NO4,173.06880800000002
C12122,C15H14O5,274.08412400000003
C12123,C15H10O4,254.057909
C12124,C15H14O5,274.08412400000003
C12125,C16H12O4,268.073559
C12126,C19H38NO3R,328.510736
C12127,C15H14O7,306.07395299999996
C12128,C15H14O5,274.08412400000003
C12129,C64H67O41,1491.315777
C12130,C57H61O34,1289.304424
C12131,C60H63O37,1375.304818
C12132,C64H67O42,1507.310691
C12133,C58H59O36,1331.278603
C12134,C15H10O6,286.047738
C12135,C16H12O6,300.063388
C12136,C15H14O7,306.07395299999996
C12137,C21H21O10,433.113472
C12138,C21H21O12,465.103301
C12139,C22H23O12,479.118951
C12140,C23H25O12,493.134601
C12141,C22H23O11,463.124037
C12142,C15H24,204.187801
C12143,C13H10N2O,210.07931299999998
C12144,C18H39NO3,317.292994
C12145,C19H38NO4R,344.510141
C12146,C22H35N7O17P3SR,794.5371069939999
C12147,C4H10NO6P,199.024574
C12148,C30H42O7,514.293054
C12149,C28H38O6,470.26683899999995
C12150,C29H40O6,484.28248899999994
C12151,C44H70O9,742.501984
C12152,C39H63NO14,769.424856
C12153,C26H39NO6S,493.24980899999997
C12154,C27H41NO6S,507.26545899999996
C12155,C47H75NO17,925.5035
C12156,C53H85NO20,1055.566494
C12157,C25H41NO4,419.303559
C12158,C26H41NO3,415.308644
C12159,C25H39NO3,401.292994
C12160,C24H37NO3,387.27734399999997
C12161,C23H35NO3,373.261694
C12162,C16H17NO3,271.12084300000004
C12163,C17H19NO4,301.131408
C12164,C16H17NO4,287.115758
C12165,C18H19NO5,329.126323
C12166,C18H19NO5,329.126323
C12167,C17H19NO3,285.13649300000003
C12168,C17H19NO5,317.126323
C12169,C19H23NO6,361.152537
C12170,C16H19NO4,289.131408
C12171,C20H23NO6,373.152537
C12172,C17H21NO4,303.147058
C12173,C16H19NO3,273.13649300000003
C12174,C17H19NO5,317.126323
C12176,C35H47NO10,641.319997
C12177,C25H33NO6,443.23078799999996
C12178,C18H19NO5,329.126323
C12179,C18H21NO5,331.141973
C12180,C16H19NO3,273.13649300000003
C12181,C15H15NO3,257.10519300000004
C12182,C14H9NO2,223.063329
C12183,C26H28N2O5,448.199822
C12184,C18H23NO5,333.157623
C12185,C16H17NO4,287.115758
C12186,C16H17NO4,287.115758
C12187,C16H19NO4,289.131408
C12188,C17H16NO2,266.118104
C12189,C16H12NO3,266.081718
C12190,C17H19NO4,301.131408
C12191,C17H19NO4,301.131408
C12192,C17H19NO4,301.131408
C12193,C16H17NO3,271.12084300000004
C12194,C16H17NO4,287.115758
C12195,C17H21NO3,287.152144
C12196,C44H36N2O9,736.242081
C12197,C44H36N2O9,736.242081
C12198,C22H19NO5,377.126323
C12199,C15H13NO3,255.08954300000002
C12200,C24H23NO5,405.157623
C12201,C23H19NO5,389.126323
C12202,C20H32O6,368.219889
C12203,C31H44N7O20P3S,959.157467
C12204,C10H10O4,194.057909
C12205,C10H12O4,196.07355900000002
C12206,C9H10O3,166.062994
C12208,C16H18O8,338.100168
C12210,C15H22N2O17P2,564.03937
C12211,C15H25N3O16P2,565.071005
C12212,C6H13NO5,179.079373
C12213,C6H14NO8P,259.045703
C12214,C6H14NO8P,259.045703
C12215,C4H10NO6P,199.024574
C12216,C44H69N5O10,827.5044429999999
C12217,C3FeN3,133.944164
C12218,C2FeN2,107.94108999999999
C12219,C39H42N6O18,882.255559
C12220,C20H24N2O7,404.158351
C12221,C20H25N3O6,403.174336
C12222,C20H13NO5,347.079373
C12223,C24H25NO6,423.168188
C12224,C22H21NO5,379.141973
C12225,C21H17NO5,363.110673
C12226,C20H15NO4,333.10010800000003
C12227,C21H18NO4,348.123583
C12228,C23H24NO5,394.165448
C12229,C22H20NO5,378.134148
C12230,C22H20NO5,378.134148
C12231,C11H15NO3,209.10519299999999
C12232,C16H19NO3,273.13649300000003
C12233,C17H23NO3,289.167794
C12234,C16H21NO3,275.152144
C12235,C17H17NO2,267.125929
C12236,C17H15NO3,281.10519300000004
C12237,C18H21NO5,331.141973
C12238,C18H23NO4,317.162708
C12239,C17H19NO5,317.126323
C12240,C23H27NO8,445.17366699999997
C12241,C19H25NO4,331.178358
C12242,C20H19NO5,353.126323
C12243,C16H19NO2,257.141579
C12244,C4H9N,71.073499
C12245,C8H11N3O3,197.080041
C12246,C35H45NO10,639.304347
C12247,C35H45NO11,655.299261
C12248,C5H6N4O5,202.033819
C12249,C21H20O11,448.100561
C12250,C16H11NO3,265.073893
C12251,C7H7IO2,249.94907200000003
C12252,C17H18BrNO4,379.041921
C12253,C15H17NO3,259.12084300000004
C12254,C26H26N2O6,462.17908700000004
C12255,C14H15NO7,309.084852
C12256,C14H15NO6,293.089937
C12257,C21H23NO5,369.157623
C12258,C20H14O7,366.07395299999996
C12259,C20H24N2O2,324.18377799999996
C12260,C20H26N2O2,326.19942799999995
C12261,C14H26O4Si,286.160036
C12262,C19H25NO5,347.173273
C12263,C13H16O3,220.10994399999998
C12264,C11H10O5,222.052823
C12265,C42H71N8O12R,880.061375
C12266,C37H51N12O14R,887.874477
C12267,C37H51N10O15R,875.860476
C12268,C44H66ClN14O17R,1098.533293
C12269,C5H9NO4,147.053158
C12270,C11H16N2O8,304.090666
C12271,C28H41NO3,439.308644
C12272,C26H43NO3,417.324294
C12276,(C9H16NO5)2.,476.168286
C12277,Ca(OH)2,73.968071
C12278,(C6H11O7)2.,453.03055700000004
C12280,C21H38O4,354.27701
C12282,(C4H6O2)n,86.089416
C12283,C7H5NO3S,182.999014
C12284,C7H4NO3S.,204.98095800000002
C12285,C12H19Cl3O8,396.014551
C12286,C13H20O,192.151415
C12287,C13H20O,192.151415
C12288,C14H18O,202.135765
C12289,C10H20O2,172.14633
C12290,C7H14O2,130.09938
C12292,C10H20O2,172.14633
C12293,C6H12O2,116.08373
C12294,C11H18O2,182.13068
C12295,C11H20O2,184.14633
C12296,C7H14O2,130.09938
C12297,C8H14O2,142.09938
C12298,C12H22O2,198.16198
C12299,C11H12O2,176.08373
C12300,C12H20O2,196.14633
C12301,C12H20O2,196.14633
C12302,C12H20O2,196.14633
C12303,C10H12O2,164.08373
C12304,C6H12O2,116.08373
C12305,C8H8O3,152.04734399999998
C12306,C12H20O2,196.14633
C12307,C10H20O,156.151415
C12308,C20H26O5,346.17802400000005
C12309,C30H21N4O5R,517.512798
C12310,C38H28N4O7,652.1957990000001
C12311,C23H18N2O5,402.121572
C12312,C8H7NO,133.052764
C12313,C6H12O2,116.08373
C12314,C6H10O3,130.062994
C12316,C15H12O7,304.05830299999997
C12317,C4H9NO3,119.05824299999999
C12318,C16H25N3O13P2,529.086261
C12319,C17H27N3O13P2,543.1019110000001
C12320,C17H27N3O13P2,543.1019110000001
C12321,C17H29N3O13P2,545.117561
C12322,C17H29N3O13P2,545.117561
C12323,C8H9NO3,167.058243
C12324,C29H42N7O19P3S,917.146902
C12325,C8H6O5,182.021523
C12326,C19H21NO4,327.147058
C12327,C17H19NO4,301.131408
C12328,C19H23NO4,329.162708
C12329,C18H21NO4,315.147058
C12330,C17H17NO4,299.115758
C12331,C17H14NO4,296.092283
C12332,C26H31NO4,421.225308
C12333,C26H37NO6,459.262088
C12334,C26H33NO5,439.235873
C12335,C26H33NO4,423.240959
C12336,C24H27NO3,377.199094
C12337,C23H25NO3,363.183444
C12338,C23H25NO4,379.178358
C12339,C23H25NO4,379.178358
C12340,C26H31NO4,421.225308
C12341,C23H25NO4,379.178358
C12342,C27H33NO4,435.240959
C12343,C11H12O3,192.078644
C12344,C11H10O2,174.06808
C12345,C11H11NO2,189.078979
C12346,C11H11NO,173.08406399999998
C12347,C5H13O13P3,373.9569
C12348,C16H17O8SR,369.366877
C12349,C17H19O8SR,383.393499
C12350,C18H21O8SR,397.420121
C12351,C18H19O9SR,411.403644
C12352,C19H21O9SR,425.43026599999996
C12353,C20H23O9SR,439.45688799999994
C12354,C20H21O10SR,453.440411
C12355,C21H23O10SR,467.467033
C12356,C22H25O10SR,481.493655
C12357,C16H19O8SR,371.38275899999996
C12358,C17H21O8SR,385.409381
C12359,C18H23O8SR,399.436003
C12360,C18H21O9SR,413.419526
C12361,C19H23O9SR,427.446148
C12362,C20H25O9SR,441.47276999999997
C12363,C20H23O10SR,455.45629299999996
C12364,C21H25O10SR,469.48291499999993
C12365,C22H27O10SR,483.509537
C12366,C20H16O8,384.084517
C12367,C20H14O7,366.07395299999996
C12368,C20H12O8,380.053217
C12369,C21H14O8,394.068867
C12370,C22H16O8,408.084517
C12371,C23H18O8,422.100168
C12372,C19H16O7,356.08960299999995
C12373,C21H16O7,380.08960299999995
C12374,C19H14O5,322.08412400000003
C12375,C21H14O8,394.068867
C12376,C19H12O6,336.063388
C12377,C20H14O6,350.07903799999997
C12378,C22H16O8,408.084517
C12379,C22H18O11,458.08491100000003
C12380,C24H22O11,486.116212
C12381,C32H36O15,660.20542
C12382,C20H16O9,400.079432
C12383,C21H18O9,414.095082
C12384,C27H28O12,544.1580759999999
C12385,C33H38O15,674.221071
C12386,C40H50O18,818.299715
C12387,C41H52O18,832.315365
C12388,C53H72O24,1092.441353
C12389,C52H76O24,1084.472653
C12390,C19H12O5,320.068473
C12391,C18H10O5,306.052823
C12392,C18H13NO4,307.084458
C12393,C18H10N2O4,318.064057
C12394,C22H18N2O9,454.10123
C12395,C30H31NO9,549.199882
C12396,C19H14O5,322.08412400000003
C12397,C19H12O4,304.073559
C12398,C20H14O4,318.089209
C12399,C19H12O5,320.068473
C12400,C20H14O5,334.08412400000003
C12401,C20H16O7,368.08960299999995
C12402,C19H14O6,338.07903799999997
C12403,C25H24O9,468.14203200000003
C12404,C25H24O8,452.147118
C12405,C31H34O10,566.215197
C12406,C37H44O13,696.278191
C12407,C25H24O9,468.14203200000003
C12408,C31H36O12,600.2206769999999
C12409,C37H44O14,712.273106
C12410,C25H28O11,504.163162
C12411,C43H58O18,862.3623150000001
C12412,C25H26O10,486.15259699999996
C12413,C43H56O17,844.35175
C12414,C37H46O14,714.2887559999999
C12415,C21H16O8,396.084517
C12416,C20H14O8,382.068867
C12417,C21H16O8,396.084517
C12418,C21H18O8,398.100168
C12419,C21H18O8,398.100168
C12420,C21H18O7,382.105253
C12421,C21H16O8,396.084517
C12422,C22H18O8,410.100168
C12423,C22H18O8,410.100168
C12424,C22H20O8,412.115818
C12425,C22H20O9,428.11073200000004
C12426,C28H31NO11,557.189711
C12427,C27H29NO11,543.174061
C12428,C26H29NO9,499.184232
C12429,C27H31NO9,513.199882
C12430,C27H31NO10,529.194796
C12431,C26H29NO10,515.179146
C12432,C26H27NO10,513.163496
C12433,C27H31NO10,529.194796
C12434,C16H14O5,286.08412400000003
C12435,C16H16O5,288.099774
C12436,C16H14O6,302.07903799999997
C12437,C24H27NO8,457.17366699999997
C12439,C20H12NO6R,362.313225
C12440,C8H15NO,141.115364
C12441,C19H20NO10SR,454.4284329999999
C12442,C19H22NO10SR,456.44431499999996
C12443,C16H27N3O13P2,531.1019110000001
C12444,C17H28N2O14P2,546.1015769999999
C12446,C16H26N2O14P2,532.085927
C12447,C16H26N2O13P2,516.091012
C12448,C10H17NO3,199.12084299999998
C12449,C9H15NO3,185.10519299999999
C12450,C30H49N8O18P3S,934.2098369999999
C12451,C19H16O7,356.08960299999995
C12452,C10H17NO2,183.125929
C12453,C10H17NO2,183.125929
C12454,C15H17N3,239.142248
C12455,C5H11NO,101.084064
C12456,C14H16O4,248.10485899999998
C12457,C13H16O4,236.10485899999998
C12458,C12H14O3,206.094294
C12459,C12H14O2,190.09938
C12460,C14H18NO3SR,280.363016
C12461,C9H10NO2SR,196.24638299999998
C12462,C9H10NO3SR,212.245788
C12463,C9H8NO3SR,210.22990600000003
C12464,C10H10NO3SR,224.256528
C12465,C10H10NO4SR,240.255933
C12466,C10H9NO4,207.053158
C12467,C9H8NO4SR,226.229311
C12468,C9H7NO4,193.037508
C12469,C9H6ClNO4,226.998535
C12470,C5H8NOSR,130.18813600000001
C12471,C21H18ClNO6,415.082265
C12472,C28H30ClNO10,575.155824
C12473,C29H32ClNO10,589.171474
C12474,C22H21NO6,395.136887
C12475,C29H33NO10,555.210446
C12476,C30H35NO10,569.226096
C12477,C7H7NO4,169.037508
C12478,C17H14N2O7,358.08010099999996
C12479,C27H21N3O10,547.122694
C12480,C43H49N3O18,895.3011119999999
C12481,C17H28N2O15P2,562.096491
C12483,C5H4NOSR,126.156372
C12484,C6H6NOSR,140.182994
C12486,H3BO3,62.017524
C12490,C23H27N.,353.19102799999996
C12491,C10H6Cl2N2O2,255.980633
C12505,MgSO4.,246.010724
C12508,C19H27NO3,317.199094
C12512,C24H30O6,414.20423900000003
C12518,C5H8O2,100.05243
C12525,C19H32O2,292.24023
C12531,C21H21NO2S,351.1293
C12535,C8H15NO2,157.110279
C12537,C14H12O2,212.08372999999997
C12538,NH4Cl,53.003227
C12539,C27H42NO2.,447.290407
C12540,C11H12N4O3S,280.06301099999996
C12552,C28H41N3O3,467.314792
C12554,C2H3O2.,97.977011
C12557,C19H25N6O5S2.,570.088879
C12560,C38H50N6O5.,766.372383
C12564,C23H27Cl2N3O2,447.148033
C12567,MgO,39.979957
C12568,KOH,55.966446999999995
C12569,NaOH,39.992509000000005
C12570,ZnO,79.924061
C12574,C16H20N2.,356.173607
C12580,C20H27NO3,329.199094
C12590,C11H14N2O2,206.105528
C12599,C8H10FN3O3S,247.04269
C12600,C19H14O5S,354.056194
C12603,NaHCO3,83.982339
C12609,C31H35N2O11.,634.213855
C12616,C11H12N4O3S,280.06301099999996
C12621,C9H8O3,164.04734399999998
C12622,C9H10O4,182.057909
C12623,C9H8O4,180.042259
C12624,C9H8O6,212.032088
C12625,C25H24O13,532.121691
C12626,C21H20O11,448.100561
C12627,C27H30O14,578.163556
C12628,C27H30O14,578.163556
C12629,C28H32O14,592.1792059999999
C12630,C27H30O15,594.15847
C12631,C15H12O6,288.063388
C12632,C27H26O18,638.111914
C12633,C16H12O8,332.053217
C12634,C27H30O16,610.153385
C12635,C33H40O21,772.2062080000001
C12636,C42H46O23,918.2429880000001
C12637,C26H28O16,596.1377349999999
C12638,C24H22O15,550.09587
C12639,C21H20O12,464.09547599999996
C12640,C36H37O18,757.197989
C12641,C39H39O21,843.198383
C12642,C24H23O13,519.113866
C12643,C24H23O14,535.10878
C12644,C27H31O14,579.171381
C12645,C33H41O19,741.224204
C12646,C33H41O20,757.2191190000001
C12647,C42H41O24,929.198777
C12649,C6H8O7.,210.037567
C12650,C15H22FN3O6,359.149264
C12656,C24H31FO6,434.210467
C12661,C22H42N4O8S2,554.2444059999999
C12662,C42H69NO15,827.466721
C12666,C25H31O8.,482.191663
C12667,C27H30O17,626.1483
C12668,C33H40O22,788.201123
C12669,C47H74O19,942.48243
C12673,C8H9FN2O3,200.05972
C12675,C14H14ClN3O4S2,387.011425
C12677,C15H15N3O.,343.153206
C12679,C20H18NO4.,371.09243599999996
C12685,C14H16ClN3O4S2,389.027075
