,molecular_formula,mass
C00434,C10H17O8PR2(C5H8O5PR)n.,506.273175994
C00435,,
C00436,C5H13N3O,131.105862
C00437,C7H14N2O3,174.100442
C00438,C5H8N2O5,176.043321
C00439,C6H10N2O4,174.06405700000002
C00440,C20H25N7O6,459.18663200000003
C00441,C4H7NO3,117.042593
C00444,C10H19O16P3R2(C5H8O6PR)n,1581.496562934
C00445,C20H22N7O6,456.16315599999996
C00446,C6H13O9P,260.029719
C00447,C7H16O13P2,370.006614
C00448,C15H28O7P2,382.13102599999996
C00449,C11H20N2O6,276.132136
C00450,C6H9NO2,127.06332900000001
C00451,C6H8O7,192.027003
C00454,C5H11O10P2R,293.082624996
C00455,C11H15N2O8P,334.056602
C00458,C9H16N3O13P3,466.98959699999995
C00459,C10H17N2O14P3,481.989263
C00460,C9H15N2O14P3,467.973613
C00461,(C8H13NO5)n,203.192881
C00462,HX,
C00463,C8H7N,117.057849
C00464,,
C00466,C4H8O2,88.05243
C00468,C18H22O2,270.16197999999997
C00469,C2H6O,46.041865
C00470,C12H18O13(C6H8O6)n-2,
C00472,C6H4O2,108.021129
C00473,C20H30O,286.229666
C00474,C5H12O5,152.068473
C00475,C9H13N3O5,243.085521
C00476,C5H10O5,150.052823
C00477,C27H44O6,464.313789
C00478,C6H10O5,162.052823
C00479,C3H6O,58.041865
C00480,(C36H60O30)n,972.8452500000001
C00481,C3H4N2,68.037448
C00482,C11H12O5,224.068473
C00483,C8H11NO,137.08406399999998
C00484,C7H6NOR,120.128934
C00486,C33H36N4O6,584.263485
C00487,C7H16NO3,162.11301799999998
C00488,CH3NO,45.021464
C00489,C5H8O4,132.042259
C00490,C5H6O4,130.026609
C00491,C6H12N2O4S2,240.023848
C00492,C18H32O16,504.16903499999995
C00493,C7H10O5,174.052823
C00494,C19H37N5O7,447.26929900000005
C00495,C17H16O7,332.08960299999995
C00496,,
C00497,C4H6O5,134.021523
C00498,C16H25N5O15P2,589.082238
C00499,C4H8N4O4,176.054555
C00500,C33H34N4O6,582.247835
C00501,C15H25N3O16P2,565.071005
C00502,C5H10O6,166.04773799999998
C00503,C4H10O4,122.05790900000001
C00504,C19H19N7O6,441.13968099999994
C00505,,
C00506,C3H7NO5S,169.004493
C00507,C6H12O5,164.068473
C00508,C5H10O5,150.052823
C00509,C15H12O5,272.068473
C00510,C39H68N7O17P3S,1031.360524
C00511,C3H4O2,72.021129
C00512,C28H40N7O17P3S,871.141423
C00513,C12H21N3O13P2,477.05496100000005
C00514,C6H12O7,196.058303
C00515,C5H12N2O2,132.089878
C00516,,
C00517,C16H32O,240.245316
C00518,(C14H21NO12)n,395.316684
C00519,C2H7NO2S,109.019749
C00521,C10H16,136.125201
C00522,C6H12O4,148.07355900000002
C00523,C19H30O2,290.22458
C00524,C42H44FeN8O8S2R4,1614.249548
C00525,C11H12N2O2,204.089878
C00526,C9H12N2O5,228.07462200000003
C00527,C26H42N7O19P3S,881.146902
C00528,C36H64N8O17,880.438943
C00530,C6H6O2,110.03677900000001
C00531,C26H40N7O19P3S,879.1312519999999
C00532,C5H12O5,152.068473
C00533,NO,29.997989
C00534,C8H12N2O2,168.089878
C00535,C19H28O2,288.20893
C00536,H5P3O10,257.909556
C00538,C2HO2R,57.028231000000005
C00539,C7H6O2,122.03677900000001
C00540,C30H42N7O17P3S,897.1570730000001
C00541,C62H88CoN13O14P,1328.564331
C00542,C7H14N2O4S,222.06742799999998
C00543,C2H7N,45.057849
C00544,C8H8O4,168.042259
C00545,C5H10O6,166.04773799999998
C00546,C3H4O2,72.021129
C00547,C8H11NO3,169.073893
C00548,C8H8O2,136.05243000000002
