compound,formula,mass
131890,C11H23NO5,249.304
131891,C17H33NO11,427.445
131892,C23H43NO16,589.586
131893,C29H53NO21,751.726
131899,C15H18N3O4,304.322
131902,C16H27N2O10,407.394
131904,C22H37N2O14,553.535
131905,C28H47N2O18,699.677
835,C10H17N3O11P2,417.20312
836,C10H18N3O14P3,497.18302
131908,C22H37N2O14,553.535
131909,C28H47N2O18,699.677
131910,C34H57N2O25,893.816
131911,C40H67N2O29,1039.958
131912,C22H32N4O10PS,575.551
131914,C20H13N3O3,343.342
131915,C20H13N3O2,327.343
131916,C20H13N3O2,327.337
845,C35H38N2O6,582.686
131917,C40H67N2O29,1039.958
847,C18H20O5,316.3484
848,C10H15N5O13P2S,507.264
131918,C39H65N2O29,1025.931
131919,C19H19N3O6,385.371
131920,C23H26N4O8,486.475
131922,C6H11N2O4,175.163
131921,C8H12N2O6,232.191
131923,C21H17Cl3N4OS,479.812
855,C20H15N3O2,329.35212
131924,C23H48NO7P,481.604
857,C6H11NO4,161.15588
131926,(C45H73N3O33)n.H2O,131926
131928,C4H11NO,89.136
131929,C11H8NO2,186.187
131930,C7H16NO7P,257.179
131932,C20H19O7,371.361
131931,(C51H83N3O37)n.H2O,131931
864,C7H9NO4,171.1507
131933,C20H17O7,369.346
131934,C20H16O8,384.337
131935,C20H16O8,384.337
131936,C20H17O7,369.346
131938,C14H26NO11P,415.331
131939,(C40H66N2O29)n.H2O,131939
131941,C14H25NO8,335.351
131940,(C43H70N2O33)n.H2O,131940
131943,C35H56N7O17P3S,971.845
131942,(C49H80N2O37)n.H2O,131942
131944,C35H54N7O17P3S,969.829
131945,C36H64O5,576.892
131946,C7H11O8P,254.132
131947,C21H19N5O,357.409
131948,C23H26N4O8,486.475
131949,C7H13O8P,256.147
131950,C9H9NO3,179.173
131951,C27H46N7O17P3S,865.679
131952,C30H43N8O18P3S,928.694
131953,C17H16O2,252.308
131954,C16H24N6O13P2,570.342
131955,C35H60N7O17P3S,975.876
131957,C21H39NO4,369.539
888,C3H8O3S3,188.29182
131958,C22H29O3,341.465
131959,C5H9O7P,212.095
131962,C29H44N7O17P3S,887.685
131963,C5H7O6P,194.079
131964,C20H31O3,319.459
131965,C20H31O3,319.459
131966,C6H11NO5,177.155
131968,C17H14N2O3,294.305
131969,C20H31O3,319.459
131970,C20H31O3,319.459
131971,C14H12N2O4,272.257
131967,C6H11NO5,177.155
131973,C14H10N2O4,270.241
131974,C20H31O3,319.459
131975,C20H31O3,319.459
904,C5H12N2O2,132.16106
131976,C56H100O6,869.392
131977,C59H108O6,913.487
131978,C14H8N2O4,268.225
131979,C14H8N2O4,268.225
131980,C14H6N2O4,266.209
131981,C13H11N2O2,227.239
131982,C28H56NO7P,549.722
131983,C28H52NO7P,545.69
131984,C30H54NO7P,571.727
131985,C30H52NO7P,569.711
915,C7H10O6,190.1507
131986,C30H50NO7P,567.695
131987,C30H50NO7P,567.695
131988,C27H56NO7P,537.711
131989,C27H56NO7P,537.711
920,C7H6N2O4,182.1335
131990,C29H42N7O17P3S,885.669
131991,C26H56NO6P,509.701
131992,C20H31O3,319.459
131993,C27H46NO7P,527.631
131994,C19H24N4O3S,388.486
131995,C18H21N3O3S,359.444
131996,C16H22ClN3O5S,403.883
131997,C20H21N3O3S2,415.532
929,C9H18N5O14P3,513.1856
131998,C14H11ClFN5O5S,415.786
131999,C16H17N3O5S,363.39
132001,C45H78O2,651.101
132002,C45H76O2,649.085
